objectid,filename,youtubeid,vimeoid,title,creator,co-creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,DYD1.jpg,,,N°1 L'alba dei Morti Viventi,Tiziano Sclavi,Angelo Stano,1986-10-01,Copertina del numero 1,dylan dog;groucho;xabaras;morgana,London; Inverness; Edimburgh,57.4773722,-4.223877892,,977112158000900001,Image; StillImage,image/jpeg,ita,,
coll002,DYD2.jpg,,,N°2 Jack lo Squartatore,Tiziano Sclavi,Gustavo Trigo,1986-11-01,Copertina del numero 2,dylan dog;groucho;bloch;jenkins,London;Whitechapel,51.51397088,-0.06808374883,,977112158000900002,Image; StillImage,image/jpeg,ita,,
coll003,DYD3.jpg,,,N°3 Le Notti della Luna Piena,Tiziano Sclavi,Giuseppe Montanari e Ernesto Grassani,1986-12-01,Copertina del numero 3,dylan dog;groucho;,Berlin;Londo;Dark Forest,48.00238234,7.93109882,,977112158000900003,Image; StillImage,image/jpeg,ita,,
coll004,DYD4.jpg,,,N°4 Il Fantasma di Anna Never,Tiziano Sclavi,Corrado Roi,1987-01-01,Copertina del numero 4,dylan dog;groucho;bloch;jenkins;anna never;,London;Pinewood Studio,51.54933485,-0.5320818689,,977112158000900004,Image; StillImage,image/jpeg,ita,,
coll005,DYD5.jpg,,,N°5 Gli Uccisori,Tiziano Sclavi,Luca Dell'Uomo,1987-02-01,Copertina del numero 5,dylan dog;groucho;bloch;jenkins,London,51.51450795,-0.1043964515,,977112158000900005,Image; StillImage,image/jpeg,ita,,
coll006,DYD6.jpg,,,N°6 La Bellezza del Demonio,Tiziano Sclavi,Gustavo Trigo,1987-03-01,Copertina del numero 6,dylan dog;homepage,London;Club 66,51.49013271,-0.1326520854,,977112158000900006,Image; StillImage,image/jpeg,ita,,
coll007,DYD7.jpg,,,N°7 La Zona Del Crepuscolo,Tiziano Sclavi,Giuseppe Montanari e Ernesto Grassani,1987-04-01,Copertina del numero 7,dylan dog;homepage,London;Inverary,56.22697528,-5.081506959,,977112158000900007,Image; StillImage,image/jpeg,ita,,
coll008,DYD8.jpg,,,N°8 Il Ritorno del Mostro,Tiziano Sclavi,Luigi Piccatto,1987-05-01,Copertina del numero 8,dylan dog;homepage,London;Harlech,52.86008502,-4.107326078,,977112158000900008,Image; StillImage,image/jpeg,ita,,
coll009,DYD9.jpg,,,N°9 L Alfa e Omega,Tiziano Sclavi,Corrado Roi,1987-06-01,Copertina del numero 9,dylan dog;homepage,London;Kielder Forest,55.24740728,-2.606855598,,977112158000900009,Image; StillImage,image/jpeg,ita,,
coll010,DYD12.jpg,,,N°12 Killer,Tiziano Sclavi,Giuseppe Montanari e Ernesto Grassani,1987-09-01,Copertina del numero 12,dylan dog,,,,,977112158000900012,Image; StillImage,image/jpeg,ita,,
coll011,DYD25.jpg,,,N°25 Morgana,Tiziano Sclavi,Angelo Stano,1988-10-01,Copertina del numero 25,dylan dog,,,,,977112158000900025,Image; StillImage,image/jpeg,ita,,
coll012,DYD43.jpg,,,N°43 Storia di Nessuno,Tiziano Sclavi,Angelo Stano,1990-04-01,Copertina del numero 43,dylan dog,,,,,977112158000900043,Image; StillImage,image/jpeg,ita,,
coll013,DYD100.jpg,,,N°100 La Storia di Dylan_Dog,Tiziano Sclavi,Angelo Stano,1995-01-01,Copertina del numero 100,dylan dog,,,,,977112158000940100,Image; StillImage,image/jpeg,ita,,
